7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	32	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	36	0	0	0	
0	0	0	0	0	0	0	0	22	0	0	32	0	258	0	0	0	32	0	0	0	0	0	0	36	32	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	32	32	32	0	0	0	0	32	0	0	0	0	0	
0	0	0	258	0	32	0	32	0	0	0	0	0	36	36	36	0	0	0	36	36	36	0	0	32	0	36	0	0	0	0	0	
0	0	0	0	0	0	0	36	36	36	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	
0	32	36	36	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	
32	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
129	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	133	
