10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	32	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	32	0	0	32	32	9	32	0	0	0	0	
0	0	0	0	32	32	32	0	0	0	0	0	0	0	32	9	32	32	32	32	0	0	32	0	0	0	0	
0	0	0	0	32	9	32	0	0	0	0	0	0	0	32	0	32	32	9	0	0	0	32	0	0	0	0	
0	0	32	32	32	9	32	32	32	32	32	32	32	32	32	0	32	32	32	0	32	32	32	0	0	0	0	
0	0	32	32	0	0	0	0	0	9	32	32	9	32	32	0	32	0	32	0	32	9	0	0	0	0	0	
0	0	9	32	0	0	0	0	0	9	0	0	0	32	32	0	32	32	32	0	32	32	32	32	32	0	0	
0	0	9	32	32	0	0	0	0	0	0	0	0	32	32	0	32	32	9	0	0	0	0	9	0	0	0	
0	0	0	0	32	9	0	0	0	0	0	0	0	32	32	9	32	32	0	32	32	32	32	32	0	0	0	
0	0	0	0	32	9	0	0	0	0	0	0	32	32	32	0	0	0	0	32	0	0	0	0	0	0	0	
32	32	32	32	32	9	0	0	0	0	0	0	32	9	32	0	0	0	0	32	9	0	0	0	0	0	0	
9	9	9	0	0	0	0	0	0	0	0	0	32	32	32	0	0	0	0	32	32	32	32	32	133	133	133	
