20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	21	21	22	21	21	21	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	32	32	32	32	32	32	0	0	0	0	32	32	32	0	
0	0	0	0	128	129	129	129	129	130	0	0	0	0	16	16	16	0	
0	0	0	0	144	145	145	145	145	146	256	0	256	0	0	0	0	0	
0	0	0	0	144	145	145	145	145	146	0	0	0	0	0	0	0	0	
128	129	129	129	131	145	145	145	145	147	129	129	129	129	129	129	129	130	
144	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	146	
144	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	145	146	

