wj
0	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	
0	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	
0	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	
0	9	32	0	0	0	0	0	0	0	0	0	0	32	9	0	
0	9	0	0	0	128	133	133	133	133	130	0	0	0	9	0	
0	9	32	0	32	144	149	149	149	149	146	32	0	32	9	0	
0	9	0	0	0	144	149	149	149	149	146	0	0	0	9	0	
0	9	32	0	32	144	149	149	149	149	146	32	0	32	9	0	
0	9	0	0	0	144	149	149	149	149	146	0	0	0	9	0	
0	0	0	0	32	144	149	149	149	149	146	32	0	0	0	0	
0	0	0	0	0	144	149	149	149	149	146	0	0	0	0	0	
133	133	133	133	133	131	149	149	149	149	151	133	133	133	133	133	
